Chapter 2 - Checkpoint 1 [Total Pts: 4 Score] |1931281,Chapter 2 - Checkpoint 2 [Total Pts: 4 Score] |1931124,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Chapter 4 - Checkpoint 1 [Total Pts: 4 Score] |1945790,Chapter 4 - Checkpoint 2 [Total Pts: 4 Score] |1945791,Chapter 4 - Checkpoint 3 [Total Pts: 4 Score] |1945793,Chapter 4 - Checkpoint 4 [Total Pts: 4 Score] |1949674,Chapter 4 - Checkpoint 5 [Total Pts: 4 Score] |1949678,Chapter 4 - Checkpoint 6 [Total Pts: 4 Score] |1949679,Chapter 4 - Checkpoint 7 [Total Pts: 4 Score] |1994614,Chapter 4 - Checkpoint 8 [Total Pts: 4 Score] |1994620,Chapter 4 - Checkpoint 9 [Total Pts: 4 Score] |1994622,Chapter 5 - Checkpoint 1 [Total Pts: 4 Score] |1994626,Chapter 5 - Checkpoint 2 [Total Pts: 4 Score] |1994627,Chapter 5 - Checkpoint 3 [Total Pts: 4 Score] |1994628,Chapter 7 - Checkpoint 1 [Total Pts: 4 Score] |1999578,Chapter 7 - Checkpoint 2 [Total Pts: 4 Score] |1999581,Chapter 7 - Checkpoint 3 [Total Pts: 4 Score] |2008962,Extra points [Total Pts: 0 Score] |1934963,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Homework 2 final grade [Total Pts: 40 Score] |2005601,Homework 3 final grade [Total Pts: 40 Score] |2008446,HOMEWORK 4 FINAL GRADE [Total Pts: up to 40 Score] |2017095,Homework 5 Final Grade [Total Pts: 40 Score] |2016174,Homework 6 [Total Pts: 40 Score] |1884931,Homework 7 [Total Pts: 40 Score] |1884933,Lab 1 [Total Pts: 20 Score] |1882989,Lab 10 [Total Pts: 20 Score] |1883436,Lab 11 [Total Pts: 20 Score] |1883437,Lab 12 [Total Pts: 20 Score] |1883438,Lab 13 Code [Total Pts: 10 Score] |2023050,Lab 13 PDF [Total Pts: 10 Score] |1883440,Lab 14 [Total Pts: 20 Score] |1883441,Lab 2 [Total Pts: 20 Score] |1883408,Lab 3 [Total Pts: 20 Score] |1883412,Lab 4 [Total Pts: 20 Score] |1883421,Lab 5 [Total Pts: 20 Score] |1883422,Lab 6 [Total Pts: 20 Score] |1883423,Lab 7 [Total Pts: 20 Score] |1883429,Lab 8 [Total Pts: 20 Score] |1883432,Lab 9 [Total Pts: 20 Score] |1883435,Project 2 [Total Pts: 100 Score] |2023051,Project1 [Total Pts: 100 Score] |1996715,Quiz 1 [Total Pts: 20 Score] |1937228,Quiz 2 [Total Pts: 20 Score] |1962628,Quiz 3 [Total Pts: 20 Score] |1995022,Quiz 4 [Total Pts: 20 Score] |2001868,Quiz 5 [Total Pts: 20 Score] |2009890,Quiz 6 [Total Pts: 20 Score] |2009024,Quiz 7 [Total Pts: 20 Score] |2009027,"Final Grade out of 1000 [Total Pts: up to 1,000 Score] |1995780"
4.0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4.0,4,2,4,4,4.0,4,4.0,4,4,0.0,15.0,27.25,40.0,37.0,36.5,39.5,40.0,20.0,10.0,19.0,17.5,10,10.0,18.0,14.0,16.5,0,15.5,20.0,18.5,18.0,16.0,110.0,105.0,19.0,18.0,10.66666,11.0,18.8,18.0,0.0,867.71666
4.0,4,4,4,4,4,4,0,4,2,4,4,2,4,4,3.0,4,2,2,4,4.0,4,4.0,4,4,0.0,39.75,22.75,40.0,40.0,34.5,34.5,40.0,20.0,15.0,15.0,18.5,10,10.0,20.0,16.0,20.0,20,15.0,20.0,18.0,13.5,19.0,100.0,105.0,18.0,18.0,10.0,9.0,6.4,0.0,0.0,859.9
4.0,4,4,4,4,4,0,4,4,4,4,4,2,3,3,3.0,2,2,2,4,4.0,2,4.0,4,3,4.0,39.0,14.5,32.0,30.0,14.25,28.0,40.0,20.0,10.0,11.0,15.5,10,9.0,16.0,18.0,19.5,13,9.0,19.0,18.5,14.0,14.0,100.0,80.0,17.0,17.0,9.5,11.0,8.4,8.0,1.5,757.65
2.0,4,4,2,2,4,0,4,2,4,4,4,2,4,3,4.0,4,3,3,4,4.0,2,4.0,4,4,0.0,28.25,28.375,40.0,40.0,38.0,40.0,40.0,2.0,19.0,14.0,18.0,10,10.0,0.0,8.0,19.0,16,16.0,20.0,20.0,16.0,17.0,100.0,105.0,17.0,14.0,9.5,9.5,11.5,10.0,6.0,828.125
4.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2.0,4,4,4,4,4.0,4,4.0,4,4,4.0,38.0,16.375,28.5,39.0,36.75,36.5,39.0,19.0,20.0,18.0,15.0,10,9.5,12.0,8.0,16.5,20,16.0,20.0,20.0,15.0,16.0,100.0,104.5,15.0,12.0,10.66666,11.0,9.0,3.5,2.5,842.29166
4.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,0.0,4,4,2,4,4.0,4,4.0,4,2,4.0,36.5,26.5,40.0,2.5,36.0,38.5,20.0,20.0,19.0,16.5,13.5,0,0.0,0.0,12.0,11.75,17,16.0,17.0,19.0,12.0,17.0,65.0,84.5,20.0,16.0,10.0,14.0,13.0,8.5,2.0,720.25
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,0.0,41.0,32.5,36.0,40.0,38.5,36.5,40.0,20.0,20.0,15.0,19.5,10,10.0,20.0,20.0,20.0,20,16.0,19.0,20.0,20.0,17.5,100.0,93.0,19.0,18.0,14.5,15.0,15.5,19.0,16.0,941.5
4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,38.625,15.25,35.0,31.5,27.0,33.5,40.0,20.0,10.0,18.0,20.0,10,7.0,17.0,8.0,17.5,20,20.0,19.0,20.0,7.0,14.0,100.0,100.0,18.0,14.0,9.0,9.0,4.0,5.5,0.0,816.875
4.0,4,4,4,4,4,4,4,4,2,4,4,4,4,4,0.0,4,4,2,2,4.0,4,4.0,4,4,4.0,36.75,30.225,40.0,39.0,38.0,39.5,40.0,20.0,10.0,13.0,15.0,10,10.0,16.0,16.0,19.75,16,17.2,18.0,19.5,20.0,17.0,100.0,105.0,20.0,20.0,0.0,18.0,13.0,17.0,13.5,906.425
4.0,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,4.0,40.25,29.725,40.0,39.0,40.0,40.0,40.0,19.0,19.0,18.0,20.0,10,10.0,16.0,16.0,20.0,20,17.2,19.0,19.0,18.0,20.0,100.0,104.0,20.0,20.0,17.8,18.0,20.0,19.5,15.0,969.475
0.0,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0.0,0,0,0,0,0.0,0,4.0,0,0,0.0,12.5,19.5,40.0,26.0,29.75,36.0,40.0,20.0,15.0,9.0,20.0,10,10.0,16.0,0.0,18.5,15,10.8,18.0,10.0,10.0,13.5,100.0,98.5,15.0,16.0,7.5,10.0,15.6,20.0,9.0,743.15
4.0,4,4,4,4,4,4,4,4,4,2,4,4,4,4,0.0,4,4,2,4,4.0,4,4.0,4,4,4.0,36.5,28.0,38.0,35.0,19.5,27.5,40.0,20.0,10.0,15.0,14.5,10,10.0,18.0,14.0,19.5,10,13.2,17.0,17.5,14.0,16.25,100.0,104.5,19.0,19.0,11.33333,12.0,14.9,5.0,8.5,838.68333
4.0,4,3,2,3,4,3,4,3,4,4,4,2,2,0,0.0,3,2,2,2,2.0,2,3.0,4,0,0.0,31.75,0.0,20.0,0.0,20.5,24.0,0.0,2.0,19.0,12.5,17.5,0,9.5,0.0,14.0,19.0,11,11.7,15.0,18.0,16.0,17.0,0.0,0.0,17.0,19.0,13.33333,11.0,8.0,2.0,0.0,419.78333
2.0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4.0,4,4,4,4,4.0,4,4.0,4,4,0.0,41.0,21.5,40.0,33.5,36.5,37.0,40.0,20.0,0.0,18.0,15.0,10,10.0,14.0,20.0,19.0,13,11.0,20.0,20.0,17.0,18.0,100.0,57.5,18.0,17.0,12.66666,8.0,7.2,9.5,3.0,808.36666
4.0,2,4,0,0,4,4,4,4,2,0,0,0,4,4,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,29.5,21.75,40.0,38.0,31.75,31.0,0.0,20.0,10.0,5.0,0.0,0,0.0,0.0,14.0,18.5,15,12.7,16.0,19.0,0.0,14.5,15.0,100.0,18.0,17.0,10.5,7.0,0.0,0.0,0.0,545.2
