Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Homework 2 final grade [Total Pts: 40 Score] |2005601,Lab 4 [Total Pts: 20 Score] |1883421,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Quiz 2 [Total Pts: 20 Score] |1962628,Lab 5 [Total Pts: 20 Score] |1883422,Chapter 4 - Checkpoint 1 [Total Pts: 4 Score] |1945790,Chapter 4 - Checkpoint 2 [Total Pts: 4 Score] |1945791,Chapter 4 - Checkpoint 3 [Total Pts: 4 Score] |1945793,Homework 3 final grade [Total Pts: 40 Score] |2008446,Lab 6 [Total Pts: 20 Score] |1883423,Chapter 4 - Checkpoint 4 [Total Pts: 4 Score] |1949674,Chapter 4 - Checkpoint 5 [Total Pts: 4 Score] |1949678,Chapter 4 - Checkpoint 6 [Total Pts: 4 Score] |1949679,Quiz 3 [Total Pts: 20 Score] |1995022,Lab 7 [Total Pts: 20 Score] |1883429,Chapter 4 - Checkpoint 7 [Total Pts: 4 Score] |1994614,Chapter 4 - Checkpoint 8 [Total Pts: 4 Score] |1994620,Chapter 4 - Checkpoint 9 [Total Pts: 4 Score] |1994622,HOMEWORK 4 FINAL GRADE [Total Pts: up to 40 Score] |2017095,Lab 8 [Total Pts: 20 Score] |1883432,Chapter 5 - Checkpoint 1 [Total Pts: 4 Score] |1994626,Quiz 4 [Total Pts: 20 Score] |2001868,Lab 9 [Total Pts: 20 Score] |1883435,Chapter 2 - Checkpoint 1 [Total Pts: 4 Score] |1931281,Chapter 2 - Checkpoint 2 [Total Pts: 4 Score] |1931124,Chapter 5 - Checkpoint 2 [Total Pts: 4 Score] |1994627,Chapter 5 - Checkpoint 3 [Total Pts: 4 Score] |1994628,Homework 5 Final Grade [Total Pts: 40 Score] |2016174,Lab 10 [Total Pts: 20 Score] |1883436,Project1 [Total Pts: 100 Score] |1996715,Lab 11 [Total Pts: 20 Score] |1883437,Quiz 5 [Total Pts: 20 Score] |2009890,Chapter 7 - Checkpoint 1 [Total Pts: 4 Score] |1999578,Homework 6 [Total Pts: 40 Score] |1884931,Extra points [Total Pts: 0 Score] |1934963,Lab 12 [Total Pts: 20 Score] |1883438,Chapter 7 - Checkpoint 2 [Total Pts: 4 Score] |1999581,Quiz 6 [Total Pts: 20 Score] |2009024,Lab 13 Code [Total Pts: 10 Score] |2023050,Lab 13 PDF [Total Pts: 10 Score] |1883440,Chapter 7 - Checkpoint 3 [Total Pts: 4 Score] |2008962,Homework 7 [Total Pts: 40 Score] |1884933,Lab 14 [Total Pts: 20 Score] |1883441,Project 2 [Total Pts: 100 Score] |2023051,Quiz 7 [Total Pts: 20 Score] |2009027,"Final Grade out of 1000 [Total Pts: up to 1,000 Score] |1995780"
20,15,14,4,4,4,19,16.5,0,4,4,27.25,0,4,4,18,15.5,4,4,4,40,20,4,4,4,10.66666,18.5,4,2,4,37,18,4,11,16,4,4,4,4,36.5,10,105,19,18.8,4,39.5,0,17.5,4,18,10,10,4,40,18,110,0,867.71666
20,39.75,16,4,4,4,18,20,4,4,0,22.75,20,4,2,18,15,4,4,2,40,20,4,4,3,10,18,4,2,2,40,13.5,4,9,19,4,4,4,4,34.5,15,105,15,6.4,4,34.5,0,18.5,4,0,10,10,4,40,20,100,0,859.9
20,39,18,4,4,4,17,19.5,4,0,4,14.5,13,4,4,17,9,4,4,2,32,19,3,3,3,9.5,18.5,2,2,2,30,14,4,11,14,4,4,4,2,14.25,10,80,11,8.4,4,28,4,15.5,4,8,10,9,3,40,16,100,1.5,757.65
2,28.25,8,4,2,2,17,19,4,0,4,28.375,16,2,4,14,16,4,4,2,40,20,4,3,4,9.5,20,4,3,3,40,16,4,9.5,17,2,4,4,2,38,19,105,14,11.5,4,40,0,18,4,10,10,10,4,40,0,100,6,828.125
19,38,8,4,4,4,15,16.5,4,4,4,16.375,20,4,4,12,16,4,4,2,28.5,20,4,4,2,10.66666,20,4,4,4,39,15,4,11,16,4,4,4,4,36.75,20,104.5,18,9,4,36.5,4,15,4,3.5,10,9.5,4,39,12,100,2.5,842.29166
20,36.5,12,4,4,4,20,11.75,4,4,4,26.5,17,4,4,16,16,4,4,2,40,17,4,4,0,10,19,4,4,2,2.5,12,4,14,17,4,4,4,4,36,19,84.5,16.5,13,4,38.5,4,13.5,4,8.5,0,0,2,20,0,65,2,720.25
20,41,20,4,4,4,19,20,4,4,4,32.5,20,4,4,18,16,4,4,4,36,19,4,4,4,14.5,20,4,4,4,40,20,4,15,17.5,4,4,4,4,38.5,20,93,15,15.5,4,36.5,0,19.5,4,19,10,10,4,40,20,100,16,941.5
20,38.625,8,4,4,4,18,17.5,4,4,4,15.25,20,4,4,14,20,4,4,4,35,19,4,4,4,9,20,4,4,4,31.5,7,4,9,14,4,4,4,4,27,10,100,18,4,4,33.5,4,20,4,5.5,10,7,4,40,17,100,0,816.875
20,36.75,16,4,4,4,20,19.75,4,4,4,30.225,16,4,2,20,17.2,4,4,4,40,18,4,4,0,0,19.5,4,4,2,39,20,2,18,17,4,4,4,4,38,10,105,13,13,4,39.5,4,15,4,17,10,10,4,40,16,100,13.5,906.425
19,40.25,16,4,4,4,20,20,4,4,4,29.725,20,4,4,20,17.2,4,2,2,40,19,4,4,4,17.8,19,4,4,4,39,18,4,18,20,4,4,4,4,40,19,104,18,20,4,40,4,20,4,19.5,10,10,4,40,16,100,15,969.475
20,12.5,0,4,0,0,15,18.5,4,4,4,19.5,15,4,4,16,10.8,4,4,4,40,18,4,4,0,7.5,10,0,0,0,26,10,0,10,13.5,0,4,0,0,29.75,15,98.5,9,15.6,4,36,0,20,0,20,10,10,0,40,16,100,9,743.15
20,36.5,14,4,4,4,19,19.5,4,4,4,28,10,4,4,19,13.2,2,4,4,38,17,4,4,0,11.33333,17.5,4,4,2,35,14,4,12,16.25,4,4,4,4,19.5,10,104.5,15,14.9,4,27.5,4,14.5,4,5,10,10,4,40,18,100,8.5,838.68333
