Lab 1 [Total Pts: 20 Score] |1882989,Predicted Points,Predicted Grade
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
19,741.0785483901398,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
19,741.0785483901398,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
7,503.6413578361049,F
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
20,760.8649809363094,C
2,404.7091951052571,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
19,741.0785483901398,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
2,404.7091951052571,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
2,404.7091951052571,F
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
0,365.13633001291794,F
20,760.8649809363094,C
20,760.8649809363094,C
19,741.0785483901398,C
