Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Predicted Points,Predicted Grade
20,15.0,14.0,4,4,4,764.0663415787227,C
20,39.75,16.0,4,4,4,865.9345257219699,B
20,39.0,18.0,4,4,4,886.6875001009872,B
2,28.25,8.0,4,2,2,477.3943452072102,F
19,38.0,8.0,4,4,4,759.2533709219326,C
20,36.5,12.0,4,4,4,809.3188810274607,B
20,41.0,20.0,4,4,4,916.1881931800688,A
20,38.625,8.0,4,4,4,769.8010501558041,C
20,36.75,16.0,4,4,4,856.3915598673545,B
19,40.25,16.0,4,4,4,858.9654586835791,B
20,12.5,0.0,4,0,0,383.479171574837,F
20,36.5,14.0,4,4,4,832.4575968701321,B
2,31.75,14.0,3,2,3,574.135504301528,F
20,41.0,20.0,4,4,4,916.1881931800688,A
20,29.5,14.0,4,0,0,599.5269889830223,F
20,36.625,12.0,4,0,0,599.0528170450623,F
20,41.375,20.0,4,4,4,917.3810639118956,A
20,37.625,20.0,4,2,4,855.1666070333237,B
20,41.0,18.0,4,4,4,893.0494773373974,B
20,29.0,8.0,4,4,4,739.1840347055802,C
20,38.0,20.0,4,4,4,906.6452273254534,A
20,38.0,18.0,0,0,0,627.5168410943845,D
0,4.0,0.0,0,0,0,139.92355854150463,F
20,41.5,16.0,4,4,4,871.5012558038287,B
0,34.0,14.0,4,4,4,653.3138983747538,D
20,36.5,20.0,4,4,0,791.7815559590773,C
20,35.5,14.0,4,4,0,719.1844198128586,C
20,41.5,19.0,4,4,4,906.2093295678357,A
0,33.25,16.0,4,4,4,674.0668727537711,D
19,31.625,14.0,4,4,4,808.390716008889,B
20,42.0,18.0,4,4,4,896.2304659556025,B
0,26.0,0.0,0,0,0,209.90530814201657,F
20,28.25,0.0,4,0,0,433.5797423115671,F
20,37.25,16.0,4,4,4,857.9820541764572,B
19,38.25,14.0,4,2,4,779.1790160441948,C
20,40.0,14.0,4,4,4,843.5910570338499,B
20,40.0,18.0,4,4,4,889.8684887191923,B
20,10.0,0.0,0,0,0,330.2007172006007,F
20,41.0,20.0,4,4,4,916.1881931800688,A
20,38.875,16.0,4,4,4,863.1511606810403,B
2,30.625,10.0,4,2,4,563.1340032376527,F
20,38.5,14.0,4,4,4,838.8195741065423,B
20,0.0,14.0,4,4,4,716.3515123056463,C
20,40.0,14.0,4,4,4,843.5910570338499,B
20,35.5,14.0,4,4,4,829.276608251927,B
19,34.5,14.0,4,0,0,606.8723707265544,D
