Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Predicted Points,Predicted Grade
20,15.0,14.0,4,4,4,19,16.5,0,4,4,763.4296923120235,C
20,39.75,16.0,4,4,4,18,20.0,4,4,0,859.532054175251,B
20,39.0,18.0,4,4,4,17,19.5,4,0,4,901.5513448098056,A
2,28.25,8.0,4,2,2,17,19.0,4,0,4,611.5328777688898,D
19,38.0,8.0,4,4,4,15,16.5,4,4,4,766.8406634115198,C
20,36.5,12.0,4,4,4,20,11.75,4,4,4,740.9766915220315,C
20,41.0,20.0,4,4,4,19,20.0,4,4,4,919.5615996502617,A
20,38.625,8.0,4,4,4,18,17.5,4,4,4,800.788153556106,B
20,36.75,16.0,4,4,4,20,19.75,4,4,4,891.3729169610496,B
19,40.25,16.0,4,4,4,20,20.0,4,4,4,889.6835686022558,B
20,12.5,0.0,4,0,0,15,18.5,4,4,4,595.871492037003,F
20,36.5,14.0,4,4,4,19,19.5,4,4,4,871.4893846717982,B
2,31.75,14.0,3,2,3,17,19.0,4,3,4,682.3136327958726,D
20,41.0,20.0,4,4,4,18,19.0,4,4,4,900.5464736649667,A
20,29.5,14.0,4,0,0,18,18.5,4,4,4,703.9531230181586,C
20,36.625,12.0,4,0,0,15,19.0,0,4,4,646.44109230323,D
20,41.375,20.0,4,4,4,20,14.0,4,4,4,829.1597018578523,B
20,37.625,20.0,4,2,4,16,20.0,4,0,0,869.5734789976436,B
20,41.0,18.0,4,4,4,17,18.5,4,4,4,876.9058572463783,B
20,29.0,8.0,4,4,4,16,12.5,4,4,4,709.633543282846,C
20,38.0,20.0,4,4,4,19,20.0,4,4,0,886.6837958537785,B
20,38.0,18.0,0,0,0,12,18.5,0,4,0,681.401248248307,D
0,4.0,0.0,0,0,0,0,0.0,0,0,0,71.1902903296799,F
20,41.5,16.0,4,4,4,20,20.0,4,4,4,898.3139015856842,B
0,34.0,14.0,4,4,4,10,20.0,0,4,4,643.5191808395135,D
20,36.5,20.0,4,4,0,19,20.0,4,4,4,806.7832689444942,B
20,35.5,14.0,4,4,0,15,7.5,0,4,4,512.1847770595291,F
20,41.5,19.0,4,4,4,20,19.75,4,4,4,913.0846955438284,A
0,33.25,16.0,4,4,4,18,19.5,4,4,4,721.8407315303845,C
19,31.625,14.0,4,4,4,14,18.5,4,4,4,828.1355603684339,B
20,42.0,18.0,4,4,4,19,20.0,4,0,0,887.0267986536587,B
0,26.0,0.0,0,0,0,0,0.0,0,0,0,85.1994525089903,F
20,28.25,0.0,4,0,0,16,17.0,4,4,4,585.7531130414676,F
20,37.25,16.0,4,4,4,20,20.0,4,4,4,895.6075861646813,B
19,38.25,14.0,4,2,4,19,18.5,4,4,4,832.0288480116769,B
20,40.0,14.0,4,4,4,19,17.5,0,4,4,795.0143114049199,C
20,40.0,18.0,4,4,4,20,20.0,4,4,4,909.8167801785922,A
20,10.0,0.0,0,0,0,11,0.0,0,2,2,278.9049973509623,F
20,41.0,20.0,4,4,4,20,20.0,4,4,4,922.9116090191492,A
20,38.875,16.0,4,4,4,19,17.5,4,4,4,854.1295529157471,B
2,30.625,10.0,4,2,4,17,20.0,4,2,4,690.9978404194909,D
20,38.5,14.0,4,4,4,19,16.5,4,4,4,825.7675950206954,B
20,0.0,14.0,4,4,4,18,18.25,4,4,4,825.3155059167275,B
20,40.0,14.0,4,4,4,18,20.0,4,4,4,878.2006639578228,B
20,35.5,14.0,4,4,4,15,17.5,0,4,4,778.7487634836019,C
19,34.5,14.0,4,0,0,18,17.0,0,4,4,628.4314203484695,D
20,42.0,14.0,4,4,4,18,18.5,4,4,4,855.9765492313311,B
19,35.5,16.0,4,0,0,17,17.75,0,0,0,629.2115449282791,D
19,5.5,18.0,4,4,0,17,16.0,4,4,4,697.3901940691421,D
20,16.0,14.0,4,4,4,18,18.5,4,4,4,839.4202666557824,B
20,35.25,14.0,4,0,0,15,18.0,3,4,4,677.8886295776919,D
20,35.25,5.5,4,4,4,13,19.5,0,4,4,750.2730758025135,C
19,42.0,14.0,4,4,4,19,18.0,4,4,4,843.6596424324107,B
20,40.125,18.0,4,4,4,20,19.5,4,4,4,902.0638193827708,A
20,40.0,14.0,4,4,4,17,15.0,4,4,0,765.5576080075945,C
20,35.5,14.0,0,4,4,18,9.25,4,4,0,721.5281733849205,C
20,20.375,0.0,0,0,0,0,0.0,4,4,0,275.42436087949307,F
19,14.0,16.0,4,0,4,15,19.0,4,4,4,806.4020728261689,B
20,34.375,20.0,0,0,0,20,18.5,0,4,4,749.3185075811174,C
20,40.5,10.0,4,4,4,18,20.0,4,4,4,853.6029565243582,B
19,39.0,18.0,4,4,4,19,19.0,4,4,4,882.3305162346337,B
20,42.0,8.0,4,4,4,19,19.5,4,4,4,837.6175289921341,B
20,30.75,14.0,0,0,0,16,17.5,4,0,0,707.2309174321844,C
20,37.875,14.0,4,4,4,17,20.0,4,4,4,873.4974968784337,B
19,38.125,16.0,4,4,0,17,15.5,4,4,4,697.8745377512595,D
20,41.0,14.0,4,4,4,16,18.0,4,4,4,840.8071920862926,B
20,4.0,0.0,0,0,0,18,0.0,0,2,4,314.0181140884696,F
20,34.25,14.0,4,0,0,15,20.0,0,0,0,652.3383725717028,D
20,14.0,14.0,4,4,4,18,18.5,4,4,4,838.1467064576632,B
20,38.625,18.0,4,4,4,20,20.0,4,4,4,908.9412075423852,A
2,34.5,8.0,4,4,4,18,20.0,4,4,4,696.3057857156318,D
20,9.5,0.0,0,0,0,0,0.0,0,0,0,231.3797380665873,F
20,34.75,12.0,4,4,4,14,16.0,4,4,4,786.3390157550834,C
20,37.5,0.0,4,0,4,14,0.0,4,0,0,407.8356156469027,F
20,35.875,14.0,0,0,0,19,19.5,4,4,4,772.588209133507,C
20,30.5,14.0,0,4,0,15,15.5,4,4,4,727.255866874811,C
20,39.0,14.0,4,4,4,20,17.0,4,4,4,837.2685527473162,B
20,11.5,8.0,4,4,4,2,17.25,4,4,4,725.9990643128133,C
20,39.625,20.0,4,4,0,18,20.0,4,4,4,805.4231973851679,B
19,38.0,14.0,3,4,4,16,18.5,4,4,4,850.2851739873508,B
20,25.375,14.0,0,4,4,0,0.0,4,4,4,540.8457410395033,F
20,39.0,17.0,4,4,4,18,20.0,4,4,2,880.767225221357,B
20,30.0,14.0,0,0,0,13,15.75,0,0,0,621.9157797917424,D
20,40.0,16.0,4,4,4,18,20.0,4,4,4,890.65871269932,B
20,33.5,14.0,4,4,4,19,13.5,0,4,4,728.2147742954035,C
2,29.125,14.0,0,0,0,17,16.0,0,4,4,518.3700047160103,F
19,38.5,19.0,4,4,4,19,19.0,0,4,4,840.8675801750808,B
20,39.625,16.0,4,4,4,15,17.25,4,4,4,837.2908213603899,B
20,37.5,14.0,4,0,0,16,20.0,4,4,4,725.8450199974711,C
7,31.5,14.0,0,0,0,11,16.75,0,2,4,555.8298935708467,F
20,39.0,16.0,4,4,4,14,19.25,0,0,0,796.7859549274679,C
20,42.0,16.0,4,4,4,17,19.0,4,4,4,872.9171469121444,B
2,29.625,14.0,4,2,4,16,19.5,4,2,2,688.6108583766825,D
20,7.0,18.0,4,0,0,0,0.0,0,0,0,296.3497394938645,F
20,41.5,20.0,4,4,4,17,19.5,4,4,4,905.3474126538124,A
0,2.0,0.0,0,0,0,0,0.0,0,0,0,69.91673013156077,F
19,38.5,19.0,4,4,4,16,18.5,4,4,4,870.3585641409865,B
20,35.5,16.0,4,4,4,20,18.5,4,4,4,870.995546066716,B
20,36.375,16.0,4,0,0,17,20.0,4,4,4,740.9367004964139,C
20,39.0,14.0,4,4,4,15,18.5,4,4,4,844.0161808274898,B
2,22.625,14.0,0,4,0,17,17.25,4,4,2,599.8530231886808,F
20,36.5,18.0,0,4,3,18,18.5,3,4,4,883.6292455078539,B
2,34.25,14.0,4,4,4,17,16.5,0,4,4,627.9692490082733,D
20,9.5,0.0,0,0,0,16,18.0,4,4,2,619.555358049405,D
20,37.25,20.0,4,4,4,18,20.0,4,4,4,913.8236649099006,A
20,35.5,14.0,0,0,0,9,5.0,0,4,4,464.3315615888059,F
20,34.875,14.0,4,4,4,0,0.0,4,4,0,470.3672014827162,F
20,39.5,19.0,4,4,4,16,20.0,0,0,0,834.2402742893239,B
20,30.0,18.0,3,0,4,14,0.0,4,4,4,547.2858576812332,F
20,38.5,14.0,4,0,0,20,20.0,0,0,0,671.7947348371436,D
20,37.5,0.0,4,4,0,17,15.0,4,4,4,597.8139598087699,F
20,38.75,18.0,4,4,4,20,20.0,4,4,4,909.0208050547676,A
20,40.0,20.0,4,4,4,20,20.0,4,4,4,922.2748289200894,A
20,42.0,20.0,4,4,0,20,20.0,4,4,0,782.6681053589052,C
20,29.0,0.0,4,4,4,19,6.0,4,4,4,568.0281184168718,F
20,39.0,14.0,4,4,4,17,17.5,4,4,4,835.0510829488575,B
20,39.5,16.0,4,4,4,18,16.5,4,4,4,835.5124144923645,B
20,39.5,20.0,4,4,4,17,20.0,4,4,4,911.906410763897,A
20,38.625,20.0,4,4,0,18,18.5,4,4,4,781.2887423614974,C
20,35.25,14.0,4,4,4,19,18.5,4,4,4,855.0282929315663,B
20,41.0,20.0,4,4,4,17,20.0,4,4,4,912.8615809124866,A
19,33.0,14.0,4,4,0,17,20.0,0,2,4,710.3994109677127,C
20,42.0,20.0,4,4,4,20,20.0,4,4,4,923.5483891182084,A
20,38.375,20.0,4,4,4,20,19.75,0,4,4,869.9502117242438,B
20,30.5,14.0,4,4,4,17,0.0,4,4,4,555.4989113197224,F
20,28.5,14.0,4,4,0,14,19.5,4,4,4,739.7322767748849,C
20,41.0,16.0,4,4,4,19,20.0,4,4,4,894.6455021672671,B
20,42.0,14.0,4,4,4,17,20.0,4,4,4,876.1242147870545,B
20,40.0,14.0,4,4,0,16,0.0,0,4,4,400.9119222511296,F
20,16.0,0.0,0,0,0,13,17.0,4,2,4,618.5899812924438,D
20,37.875,14.0,4,4,4,18,19.75,0,0,0,804.8441243582824,B
20,42.0,14.0,4,4,4,18,15.5,4,4,4,808.981199382109,B
20,40.5,14.0,4,4,4,18,19.5,0,0,0,802.599392964212,B
20,35.5,16.0,0,4,4,18,14.5,4,4,4,847.1955478618604,B
20,39.75,0.0,0,0,0,15,12.5,0,0,0,496.7064343015437,F
0,2.0,0.0,0,0,0,0,0.0,0,0,0,69.91673013156077,F
20,35.0,14.0,4,4,4,16,17.0,4,4,4,821.3213948755281,B
20,4.5,0.0,0,0,0,17,0.0,2,4,2,314.06258263727625,F
20,37.25,14.0,4,4,4,20,19.5,4,4,4,875.3169791149804,B
20,42.0,20.0,4,4,4,19,20.0,4,4,4,920.198379749321,A
20,40.25,20.0,4,0,0,16,15.0,4,4,4,686.6447284123398,D
20,38.5,16.0,4,4,4,19,19.5,0,4,4,837.8474232306426,B
20,41.5,10.0,4,0,4,19,20.0,0,4,4,776.0653208966046,C
20,25.0,8.0,0,0,0,14,10.5,0,0,0,502.46588020470176,F
20,41.0,16.0,4,4,4,20,18.25,4,4,4,870.5815574574418,B
20,42.0,16.0,4,4,4,20,20.0,4,4,4,898.6322916352141,B
20,10.0,0.0,0,0,0,7,0.0,0,0,0,255.1481936983297,F
20,37.5,8.0,4,4,4,18,20.0,4,2,4,844.3615330582518,B
20,33.5,14.0,0,0,0,0,0.0,0,0,0,333.86880163449734,F
20,38.25,14.0,4,4,4,18,18.5,4,4,4,853.5886238598578,B
19,31.5,14.0,4,0,0,0,0.0,0,0,0,279.2003965782253,F
20,20.5,0.0,0,0,0,0,0.0,0,0,0,238.38431915624253,F
20,40.125,16.0,4,4,4,19,19.5,4,4,4,886.2557612723863,B
20,39.5,14.0,4,4,4,19,20.0,4,4,4,881.2322832771804,B
20,36.0,16.0,4,4,4,17,19.0,4,4,4,869.0964663177868,B
20,37.75,14.0,4,4,4,18,18.0,0,0,0,777.350572767187,C
20,39.75,16.0,4,4,4,20,20.0,4,4,4,897.1995364123301,B
19,35.125,20.0,4,4,4,17,18.5,0,4,0,799.4474311662204,C
20,41.0,18.0,4,4,4,18,19.75,4,4,4,899.8372623857749,B
19,41.25,14.0,4,0,4,18,17.5,4,4,4,797.8486349660964,C
20,42.0,14.0,4,4,4,19,20.0,4,4,4,882.8242335248294,B
20,41.0,14.0,4,4,4,20,18.75,4,4,4,865.9560670241482,B
20,39.5,8.0,4,4,4,20,18.5,0,4,4,776.3369011161934,C
20,0.0,14.0,4,4,4,19,20.0,0,4,4,808.7058989835557,B
20,42.0,14.0,4,4,4,18,19.5,0,4,4,824.2680954669663,B
0,29.0,0.0,0,0,0,0,0.0,0,0,0,87.109792806169,F
20,29.5,14.0,4,4,4,11,18.5,4,4,4,824.5667324108738,B
20,37.0,14.0,0,0,0,19,19.5,0,0,0,705.2174840100117,C
20,39.125,18.0,4,4,2,18,10.5,4,4,4,698.7845608682708,D
20,5.5,14.0,0,0,0,6,0.0,0,0,0,336.1390150741546,F
2,41.25,14.0,4,0,0,14,14.0,0,0,0,418.4366827249164,F
20,40.5,20.0,4,4,4,18,12.0,4,4,4,790.5722673005855,C
20,15.0,14.0,0,4,3,16,16.75,4,2,4,827.8787612463534,B
20,25.5,14.0,0,2,3,14,16.0,2,4,2,754.7431862163264,C
0,0.0,0.0,0,0,0,0,0.0,0,0,0,68.64316993344164,F
20,41.0,14.0,3,3,0,10,15.5,0,0,0,606.396829407918,D
20,41.0,18.0,4,4,4,19,20.0,4,4,4,907.1035509087642,A
20,41.5,14.0,4,4,4,17,20.0,4,4,4,875.8058247375246,B
20,41.0,20.0,4,4,4,20,20.0,4,4,4,922.9116090191492,A
20,42.0,14.0,4,4,3,20,20.0,4,4,4,858.6960378287171,B
20,35.25,12.0,4,4,0,10,15.5,0,0,0,587.4248870259232,F
20,34.375,0.0,4,3,3,0,0.0,0,0,0,309.706912263341,F
20,12.5,20.0,4,4,4,17,20.0,4,4,4,894.7133480892888,B
20,36.5,18.0,4,4,4,15,13.0,0,4,4,733.8086162918229,C
20,39.0,19.0,4,4,4,17,19.5,4,4,4,897.526438035415,B
20,34.5,14.0,4,4,4,15,18.5,4,4,4,841.1506703817216,B
20,42.0,20.0,4,4,4,20,20.0,4,4,4,923.5483891182084,A
20,40.875,16.0,4,4,4,19,20.0,4,4,4,894.5659046548847,B
0,0.0,0.0,0,0,0,0,0.0,0,0,0,68.64316993344164,F
2,33.5,0.0,0,0,0,12,15.0,0,0,0,380.8208806439055,F
20,33.5,0.0,4,0,0,12,20.0,4,4,4,622.6915209352023,D
20,39.5,14.0,4,4,4,19,18.5,4,4,4,857.7346083525695,B
20,39.0,20.0,4,4,4,17,19.5,4,4,4,903.7554624061636,A
0,0.0,0.0,0,0,0,0,0.0,0,0,0,68.64316993344164,F
20,41.0,18.0,4,4,4,19,18.5,4,4,4,883.6058759841533,B
20,38.75,14.0,4,4,4,18,19.0,4,4,4,861.7395722175911,B
20,38.125,20.0,0,4,0,20,15.5,4,4,4,786.2355081990693,C
20,26.5,14.0,4,0,4,18,19.25,4,4,4,823.7044404432847,B
20,40.5,8.0,4,4,4,18,19.0,4,4,4,825.4797911664538,B
20,38.5,20.0,4,4,4,18,17.5,0,0,0,807.3697457577698,B
20,13.0,0.0,0,4,0,14,16.5,4,4,4,641.220981198308,D
0,0.0,0.0,0,0,0,0,0.0,0,0,0,68.64316993344164,F
20,30.5,20.0,4,4,4,0,0.0,4,0,0,515.2093659189612,F
20,36.875,16.0,4,4,4,17,18.5,4,4,4,861.8210905962604,B
2,35.5,16.0,0,0,0,17,20.0,3,4,0,602.1107073409165,D
0,15.25,16.0,0,0,0,17,15.0,4,0,0,517.3189352740476,F
20,32.5,20.0,0,0,0,18,17.5,0,0,0,705.0458771870333,C
20,37.375,16.0,4,4,4,19,20.0,4,4,4,892.3371743081761,B
0,35.625,14.0,4,4,4,18,18.5,4,4,4,695.2299189077464,D
20,25.0,14.0,4,4,4,15,14.0,4,4,4,764.6082346668228,C
20,29.5,0.0,0,4,0,17,19.5,4,2,4,713.9001963612449,C
20,41.0,20.0,4,4,4,19,20.0,4,4,4,919.5615996502617,A
0,0.0,0.0,0,4,0,0,0.0,0,0,0,102.79402464837024,F
20,40.0,14.0,4,4,4,15,20.0,0,4,0,789.8096019710841,C
20,10.5,0.0,0,4,0,15,0.0,4,4,4,384.5046161488252,F
20,38.25,14.0,4,4,4,19,20.0,4,4,4,880.4363081533561,B
20,37.0,18.0,0,0,0,16,15.0,0,4,4,670.3040609666758,D
20,26.0,14.0,0,0,0,0,0.0,0,0,0,329.0929508915506,F
0,7.0,0.0,0,0,0,11,0.0,0,0,0,109.9507336846212,F
20,11.0,14.0,4,4,4,19,19.75,4,4,4,859.1677712998812,B
20,37.0,14.0,0,4,4,16,15.0,3,0,0,804.2682838900231,B
20,37.5,14.0,0,4,0,12,20.0,0,4,4,744.7827538546264,C
0,21.75,0.0,0,4,0,0,0.0,0,0,0,116.64399180291576,F
20,30.375,8.0,4,0,0,15,17.0,4,4,4,633.5884563490705,D
20,40.375,20.0,4,4,4,19,17.5,4,4,4,880.0008205473309,B
20,40.0,20.0,4,4,4,19,20.0,4,4,4,918.9248195512018,A
20,5.0,16.0,4,0,0,12,20.0,0,0,0,636.1205753090453,D
20,39.25,14.0,4,4,4,18,20.0,4,4,4,877.7230788835282,B
19,39.5,16.0,4,4,4,19,19.5,4,4,4,878.0234158508699,B
0,0.0,14.0,0,0,0,0,0.0,0,0,0,155.84951112392207,F
20,36.625,14.0,4,3,4,17,14.0,0,4,0,691.832074497357,D
20,28.5,14.0,4,4,0,17,20.0,0,0,0,689.527760454814,D
19,40.5,16.0,4,4,4,19,20.0,4,4,4,886.4927542581333,B
