Lab 1 [Total Pts: 20 Score] |1882989,Homework 1 Final Grade [Total Pts: 40 Score] |1995600,Lab 2 [Total Pts: 20 Score] |1883408,Chapter 2 - Checkpoint 3 [Total Pts: 4 Score] |1936678,Chapter 2 - Checkpoint 4 [Total Pts: 4 Score] |1936680,Chapter 2 - Checkpoint 5 [Total Pts: 4 Score] |1936681,Quiz 1 [Total Pts: 20 Score] |1937228,Lab 3 [Total Pts: 20 Score] |1883412,Chapter 3 - Checkpoint 1 [Total Pts: 4 Score] |1936189,Chapter 3 - Checkpoint 2 [Total Pts: 4 Score] |1938812,Chapter 3 - Checkpoint 3 [Total Pts: 4 Score] |1938813,Homework 2 final grade [Total Pts: 40 Score] |2005601,Lab 4 [Total Pts: 20 Score] |1883421,Chapter 3 - Checkpoint 4 [Total Pts: 4 Score] |1938815,Chapter 3 - Checkpoint 5 [Total Pts: 4 Score] |1938818,Predicted Points,Predicted Grade
20,15.0,14.0,4,4,4,19,16.5,0,4,4,27.25,0,4,4,656.4208934783887,D
20,39.75,16.0,4,4,4,18,20.0,4,4,0,22.75,20,4,2,883.6190302106107,B
20,39.0,18.0,4,4,4,17,19.5,4,0,4,14.5,13,4,4,795.9484793187158,C
2,28.25,8.0,4,2,2,17,19.0,4,0,4,28.375,16,2,4,662.8798385792371,D
19,38.0,8.0,4,4,4,15,16.5,4,4,4,16.375,20,4,4,796.465630761705,C
20,36.5,12.0,4,4,4,20,11.75,4,4,4,26.5,17,4,4,788.0665336944315,C
20,41.0,20.0,4,4,4,19,20.0,4,4,4,32.5,20,4,4,966.8707530581744,A
20,38.625,8.0,4,4,4,18,17.5,4,4,4,15.25,20,4,4,811.8505336729398,B
20,36.75,16.0,4,4,4,20,19.75,4,4,4,30.225,16,4,2,876.5274308597142,B
19,40.25,16.0,4,4,4,20,20.0,4,4,4,29.725,20,4,4,930.7302974920934,A
20,12.5,0.0,4,0,0,15,18.5,4,4,4,19.5,15,4,4,643.2671563609521,D
20,36.5,14.0,4,4,4,19,19.5,4,4,4,28.0,10,4,4,825.9609636680502,B
2,31.75,14.0,3,2,3,17,19.0,4,3,4,0.0,11,3,4,596.4397970279147,F
20,41.0,20.0,4,4,4,18,19.0,4,4,4,21.5,13,4,4,855.6690845028292,B
20,29.5,14.0,4,0,0,18,18.5,4,4,4,21.75,15,4,2,719.5577366969893,C
20,36.625,12.0,4,0,0,15,19.0,0,4,4,0.0,0,0,0,458.17273960991946,F
20,41.375,20.0,4,4,4,20,14.0,4,4,4,34.75,17,4,4,887.9086102616751,B
20,37.625,20.0,4,2,4,16,20.0,4,0,0,31.0,15,0,0,834.9001501661405,B
20,41.0,18.0,4,4,4,17,18.5,4,4,4,32.0,16,4,4,903.4292343297204,A
20,29.0,8.0,4,4,4,16,12.5,4,4,4,0.0,0,4,4,523.5294463314875,F
20,38.0,20.0,4,4,4,19,20.0,4,4,0,21.0,14,0,0,824.3988204047068,B
20,38.0,18.0,0,0,0,12,18.5,0,4,0,0.0,11,2,4,653.5611318791453,D
0,4.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,48.49627925620287,F
20,41.5,16.0,4,4,4,20,20.0,4,4,4,29.5,16,4,4,903.0286009353922,A
0,34.0,14.0,4,4,4,10,20.0,0,4,4,30.25,16,0,2,713.8137814251373,C
20,36.5,20.0,4,4,0,19,20.0,4,4,4,21.5,17,0,0,779.0884949404559,C
20,35.5,14.0,4,4,0,15,7.5,0,4,4,27.125,2,4,4,519.504975406076,F
20,41.5,19.0,4,4,4,20,19.75,4,4,4,38.0,20,4,4,980.9374625197378,A
0,33.25,16.0,4,4,4,18,19.5,4,4,4,5.5,0,4,4,552.4553410212229,F
19,31.625,14.0,4,4,4,14,18.5,4,4,4,15.0,17,4,4,811.1714658072602,B
20,42.0,18.0,4,4,4,19,20.0,4,0,0,25.75,0,0,0,691.8074652352905,D
0,26.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,68.74287735346218,F
20,28.25,0.0,4,0,0,16,17.0,4,4,4,22.75,19,4,4,688.5507101753024,D
20,37.25,16.0,4,4,4,20,20.0,4,4,4,38.5,16,4,4,932.5439742243292,A
19,38.25,14.0,4,2,4,19,18.5,4,4,4,34.0,20,4,4,911.8497785726976,A
20,40.0,14.0,4,4,4,19,17.5,0,4,4,29.5,20,4,4,866.4765170609846,B
20,40.0,18.0,4,4,4,20,20.0,4,4,4,36.0,16,4,4,936.0260803204671,A
20,10.0,0.0,0,0,0,11,0.0,0,2,2,0.0,11,0,0,283.1350255768983,F
20,41.0,20.0,4,4,4,20,20.0,4,4,4,36.0,20,4,4,980.8083631601264,A
20,38.875,16.0,4,4,4,19,17.5,4,4,4,25.75,0,4,4,724.8349598705986,C
2,30.625,10.0,4,2,4,17,20.0,4,2,4,23.375,15,2,3,697.4439077164766,D
20,38.5,14.0,4,4,4,19,16.5,4,4,4,29.75,13,4,2,805.6472798505145,B
20,0.0,14.0,4,4,4,18,18.25,4,4,4,23.5,20,4,4,845.5773191486761,B
20,40.0,14.0,4,4,4,18,20.0,4,4,4,27.75,16,4,4,883.0353475032115,B
20,35.5,14.0,4,4,4,15,17.5,0,4,4,32.25,16,0,0,790.9053702171077,C
19,34.5,14.0,4,0,0,18,17.0,0,4,4,27.75,0,2,2,567.7295785411627,F
20,42.0,14.0,4,4,4,18,18.5,4,4,4,32.25,16,4,4,885.7434877493081,B
19,35.5,16.0,4,0,0,17,17.75,0,0,0,21.75,16,0,0,647.6712660328186,D
19,5.5,18.0,4,4,0,17,16.0,4,4,4,25.25,8,4,2,650.9348845473601,D
20,16.0,14.0,4,4,4,18,18.5,4,4,4,31.0,10,4,4,806.7348175879071,B
20,35.25,14.0,4,0,0,15,18.0,3,4,4,16.5,15,4,4,711.6318905229448,C
20,35.25,5.5,4,4,4,13,19.5,0,4,4,0.0,0,0,0,512.1404216116342,F
19,42.0,14.0,4,4,4,19,18.0,4,4,4,28.25,15,4,2,830.3466495460711,B
20,40.125,18.0,4,4,4,20,19.5,4,4,4,33.25,12,4,4,887.0199703724707,B
20,40.0,14.0,4,4,4,17,15.0,4,4,0,0.0,0,4,4,589.413745157577,F
20,35.5,14.0,0,4,4,18,9.25,4,4,0,16.5,16,0,4,758.3743251930691,C
20,20.375,0.0,0,0,0,0,0.0,4,4,0,0.0,15,4,4,403.3100714847367,F
19,14.0,16.0,4,0,4,15,19.0,4,4,4,2.0,19,4,4,768.1438043065991,C
20,34.375,20.0,0,0,0,20,18.5,0,4,4,22.0,16,4,4,793.9570251937444,C
20,40.5,10.0,4,4,4,18,20.0,4,4,4,26.5,16,4,4,858.3799848466159,B
19,39.0,18.0,4,4,4,19,19.0,4,4,4,33.25,16,4,4,907.7807522405903,A
20,42.0,8.0,4,4,4,19,19.5,4,4,4,28.0,20,4,2,862.1955495344217,B
20,30.75,14.0,0,0,0,16,17.5,4,0,0,14.25,14,4,4,702.9251526962104,C
20,37.875,14.0,4,4,4,17,20.0,4,4,4,12.0,20,4,4,855.2702398060927,B
19,38.125,16.0,4,4,0,17,15.5,4,4,4,23.75,8,4,4,682.05165583601,D
20,41.0,14.0,4,4,4,16,18.0,4,4,4,20.75,16,4,4,834.9527158240082,B
20,4.0,0.0,0,0,0,18,0.0,0,2,4,0.0,0,0,0,192.85973934878064,F
20,34.25,14.0,4,0,0,15,20.0,0,0,0,0.0,15,0,0,574.5980590261302,F
20,14.0,14.0,4,4,4,18,18.5,4,4,4,28.75,16,2,4,847.0250514256702,B
20,38.625,18.0,4,4,4,20,20.0,4,4,4,35.5,20,4,4,966.5291535577684,A
2,34.5,8.0,4,4,4,18,20.0,4,4,4,22.75,14,4,4,710.9170987369931,C
20,9.5,0.0,0,0,0,0,0.0,0,0,0,28.75,13,4,4,426.0673121088336,F
20,34.75,12.0,4,4,4,14,16.0,4,4,4,25.5,13,2,2,766.2503826140835,C
20,37.5,0.0,4,0,4,14,0.0,4,0,0,0.0,0,0,0,272.1377577519929,F
20,35.875,14.0,0,0,0,19,19.5,4,4,4,23.75,8,4,4,744.7148683836284,C
20,30.5,14.0,0,4,0,15,15.5,4,4,4,0.0,0,4,4,550.0930957577239,F
20,39.0,14.0,4,4,4,20,17.0,4,4,4,24.0,20,4,4,871.9979484183276,B
20,11.5,8.0,4,4,4,2,17.25,4,4,4,31.0,14,4,2,755.1095721596005,C
20,39.625,20.0,4,4,0,18,20.0,4,4,4,30.625,20,4,0,840.0376957202033,B
19,38.0,14.0,3,4,4,16,18.5,4,4,4,32.125,19,4,4,908.587097927464,A
20,25.375,14.0,0,4,4,0,0.0,4,4,4,0.0,0,0,0,396.5993167124095,F
20,39.0,17.0,4,4,4,18,20.0,4,4,2,33.25,12,4,4,883.1234231320885,B
20,30.0,14.0,0,0,0,13,15.75,0,0,0,0.0,11,4,0,527.212774361679,F
20,40.0,16.0,4,4,4,18,20.0,4,4,4,38.0,18,4,4,948.1538075327936,A
20,33.5,14.0,4,4,4,19,13.5,0,4,4,24.25,13,4,4,739.8956040668894,C
2,29.125,14.0,0,0,0,17,16.0,0,4,4,0.0,8,0,0,435.00209043491134,F
19,38.5,19.0,4,4,4,19,19.0,0,4,4,34.75,20,4,4,920.42276560334,A
20,39.625,16.0,4,4,4,15,17.25,4,4,4,16.5,18,4,4,836.0904696958688,B
20,37.5,14.0,4,0,0,16,20.0,4,4,4,27.25,16,4,4,791.9044633936317,C
7,31.5,14.0,0,0,0,11,16.75,0,2,4,0.0,12,2,2,510.28961475844415,F
20,39.0,16.0,4,4,4,14,19.25,0,0,0,21.75,18,4,4,815.7058251745792,B
20,42.0,16.0,4,4,4,17,19.0,4,4,4,31.75,11,4,4,856.4345807629687,B
2,29.625,14.0,4,2,4,16,19.5,4,2,2,14.0,16,2,4,694.3057510474509,D
20,7.0,18.0,4,0,0,0,0.0,0,0,0,23.0,0,0,0,303.9682728775924,F
20,41.5,20.0,4,4,4,17,19.5,4,4,4,24.0,13,4,4,869.7579841524105,B
0,2.0,0.0,0,0,0,0,0.0,0,0,0,0.0,14,4,4,208.6095461431181,F
19,38.5,19.0,4,4,4,16,18.5,4,4,4,28.5,20,4,4,920.325510350614,A
20,35.5,16.0,4,4,4,20,18.5,4,4,4,5.5,15,4,4,784.1169097189118,C
20,36.375,16.0,4,0,0,17,20.0,4,4,4,0.0,0,0,0,522.0688561527547,F
20,39.0,14.0,4,4,4,15,18.5,4,4,4,10.5,14,4,4,782.5736869942082,C
2,22.625,14.0,0,4,0,17,17.25,4,4,2,24.75,6,4,4,603.4584765679331,D
20,36.5,18.0,0,4,3,18,18.5,3,4,4,12.0,20,4,4,870.4645828204372,B
2,34.25,14.0,4,4,4,17,16.5,0,4,4,15.0,20,4,4,693.9260821833379,D
20,9.5,0.0,0,0,0,16,18.0,4,4,2,28.0,16,4,4,712.013529467729,C
20,37.25,20.0,4,4,4,18,20.0,4,4,4,40.0,14,4,4,939.8985277634235,A
20,35.5,14.0,0,0,0,9,5.0,0,4,4,0.0,13,2,4,504.4694755335223,F
20,34.875,14.0,4,4,4,0,0.0,4,4,0,0.0,0,0,0,366.0227433667783,F
20,39.5,19.0,4,4,4,16,20.0,0,0,0,26.0,16,4,2,818.1108365347101,B
20,30.0,18.0,3,0,4,14,0.0,4,4,4,0.0,15,4,2,543.083175168171,F
20,38.5,14.0,4,0,0,20,20.0,0,0,0,32.0,20,4,4,788.3478711240357,C
20,37.5,0.0,4,4,0,17,15.0,4,4,4,23.75,15,4,4,658.7566292337428,D
20,38.75,18.0,4,4,4,20,20.0,4,4,4,38.5,20,4,4,977.7864070207446,A
20,40.0,20.0,4,4,4,20,20.0,4,4,4,36.5,19,4,4,973.3387188387434,A
20,42.0,20.0,4,4,0,20,20.0,4,4,0,26.0,20,4,4,868.9891273058969,B
20,29.0,0.0,4,4,4,19,6.0,4,4,4,36.0,19,4,4,710.1614328189078,C
20,39.0,14.0,4,4,4,17,17.5,4,4,4,24.0,16,4,4,840.8392802539187,B
